non_sign_count_rmann_whitney,non_sign_count_rt_test,sign_count_rmann_whitney,sign_count_rt_test,non_sign_share_rmann_whitney,non_sign_share_rt_test,sign_share_rmann_whitney,sign_share_rt_test,n_largest_rmann_whitney,n_largest_rt_test,n_smallest_rmann_whitney,n_smallest_rt_test,non_sign_list_rmann_whitney,non_sign_list_rt_test,sign_list_rmann_whitney,sign_list_rt_test
4.0,3.0,1.0,1.0,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.14285714285714285,"[[0.8659692869239283 'L2PC']
 [0.2478277999831715 'Amygdala']
 [0.23858176203577053 'CA1PC']]","[[0.94704489999356 'L2PC']
 [0.36224027516614155 'Amygdala']
 [0.20444545581519408 'CA1PC']]","[[5.855483763554423e-07 'L2IN']
 [3.3752363312834906e-05 'L5PC']
 [0.021310900238742787 'L5IN']]","[[0.0001533650188768312 'L5PC']
 [0.00023123604962732306 'L2IN']
 [0.04335978273692398 'L5FS']]","['L5FS', 'L2IN', 'L5PC', 'L5IN']","['L5FS', 'L2IN', 'L5PC']",['L2PC'],['L2PC']
3.0,2.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.0,"[[0.43257446346663886 'L2IN']
 [0.4308266659858433 'L5FS']
 [0.2709871737085019 'L2PC']]","[[0.6503980132724795 'L5FS']
 [0.3011703441075909 'L2IN']
 [0.27364657676998605 'L2PC']]","[[0.007912007143473235 'CA1PC']
 [0.019415373706998033 'Amygdala']
 [0.032325837185258964 'L5PC']]","[[0.0013921142643730036 'CA1PC']
 [0.04141694605278929 'L5PC']
 [0.05401819347890741 'Amygdala']]","['L5PC', 'Amygdala', 'CA1PC']","['L5PC', 'CA1PC']",[],[]
4.0,2.0,0.0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.0,"[[0.6160701476194275 'Amygdala']
 [0.5632396668675834 'L2PC']
 [0.07530567169093433 'L5IN']]","[[0.6708056069249824 'L5IN']
 [0.5060933340138589 'L2IN']
 [0.4016894466939138 'Amygdala']]","[[0.00011719399795883253 'L5FS']
 [0.01498314661222639 'CA1PC']
 [0.016753552166414217 'L5PC']]","[[2.359782319646432e-10 'CA1PC']
 [0.00010918445619544742 'L5FS']
 [0.08940063214208574 'L5PC']]","['L5FS', 'L2IN', 'L5PC', 'CA1PC']","['L5FS', 'CA1PC']",[],[]
4.0,2.0,0.0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.0,"[[0.6900405971242527 'L2PC']
 [0.6481676318952401 'Amygdala']
 [0.49511144319827405 'L5IN']]","[[0.6028075801632982 'Amygdala']
 [0.29281345206125686 'L2PC']
 [0.25739409259846396 'L5FS']]","[[9.296169890353455e-07 'L2IN']
 [5.84380446762332e-05 'L5PC']
 [0.026702854994789263 'CA1PC']]","[[8.79847921355825e-07 'L2IN']
 [0.00026711697651153247 'CA1PC']
 [0.13479129604280377 'L5PC']]","['L5FS', 'L2IN', 'L5PC', 'CA1PC']","['L2IN', 'CA1PC']",[],[]
4.0,3.0,1.0,1.0,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.14285714285714285,"[[0.8659692869239283 'L2PC']
 [0.2478277999831715 'Amygdala']
 [0.23858176203577053 'CA1PC']]","[[0.94704489999356 'L2PC']
 [0.36224027516614155 'Amygdala']
 [0.20444545581519408 'CA1PC']]","[[5.855483763554423e-07 'L2IN']
 [3.3752363312834906e-05 'L5PC']
 [0.021310900238742787 'L5IN']]","[[0.0001533650188768312 'L5PC']
 [0.00023123604962732306 'L2IN']
 [0.04335978273692398 'L5FS']]","['L5FS', 'L2IN', 'L5PC', 'L5IN']","['L5FS', 'L2IN', 'L5PC']",['L2PC'],['L2PC']
1.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,"[[0.5930418614213933 'L5FS']
 [0.58003160599876 'L5IN']
 [0.5369819464343187 'CA1PC']]","[[0.5898113051300506 'L2PC']
 [0.3286855244838902 'L2IN']
 [0.3004365003442337 'Amygdala']]","[[0.03711692886869361 'L2PC']
 [0.06723765326928598 'L2IN']
 [0.47012795068843705 'Amygdala']]","[[0.3003294682569627 'L5FS']
 [0.30033879031558813 'L5IN']
 [0.30037278178193993 'CA1PC']]",['L2PC'],[],[],[]
5.0,5.0,1.0,0.0,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.0,"[[0.9184247544686371 'L5FS']
 [0.2489489475491874 'L2IN']
 [0.007810318829437037 'L2PC']]","[[0.470864718203009 'L2IN']
 [0.2721602243405781 'L5FS']
 [0.01687601043002624 'L2PC']]","[[1.1143240825894035e-14 'CA1PC']
 [5.150276547097931e-06 'L5IN']
 [0.00033860059622931266 'Amygdala']]","[[3.964172491431889e-17 'CA1PC']
 [9.365028789353559e-05 'L5PC']
 [0.0033311543983517654 'L5IN']]","['L5PC', 'L2PC', 'L5IN', 'Amygdala', 'CA1PC']","['L5PC', 'L2PC', 'L5IN', 'Amygdala', 'CA1PC']",['L5FS'],[]
5.0,5.0,0.0,1.0,0.7142857142857143,0.7142857142857143,0.0,0.14285714285714285,"[[0.6279511777665545 'L5FS']
 [0.22518050839442538 'L2IN']
 [0.013104224536351381 'L2PC']]","[[0.8494407104940249 'L5FS']
 [0.19329180156941653 'L2IN']
 [0.02468900581729043 'L2PC']]","[[1.703433943708627e-14 'CA1PC']
 [1.7244687672768613e-05 'L5IN']
 [0.00020983529201602826 'Amygdala']]","[[2.442288777242783e-17 'CA1PC']
 [3.10043359299469e-05 'L5PC']
 [0.00011984220516810521 'L5IN']]","['L5PC', 'L2PC', 'L5IN', 'Amygdala', 'CA1PC']","['L5PC', 'L2PC', 'L5IN', 'Amygdala', 'CA1PC']",[],['L5FS']
5.0,5.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.0,0.0,"[[0.406913729420062 'L5FS']
 [0.20795748939330916 'L2IN']
 [0.007208713032346899 'L2PC']]","[[0.7502879186362423 'L5FS']
 [0.1633487370456434 'L2IN']
 [0.01935738103418667 'L2PC']]","[[1.0379737092624987e-14 'CA1PC']
 [2.1459106558009543e-05 'L5IN']
 [0.0001014426687493557 'L5PC']]","[[6.398582398144073e-19 'CA1PC']
 [7.963664898398122e-06 'L5PC']
 [0.0002867142230672873 'L5IN']]","['L5PC', 'L2PC', 'L5IN', 'Amygdala', 'CA1PC']","['L5PC', 'L2PC', 'L5IN', 'Amygdala', 'CA1PC']",[],[]
4.0,4.0,1.0,0.0,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.0,"[[0.9771325372445377 'L2IN']
 [0.6524917685464597 'L2PC']
 [0.4905748996448741 'L5IN']]","[[0.7208224194671403 'L2IN']
 [0.18454481235729872 'L2PC']
 [0.08795530877599829 'L5IN']]","[[4.8793957964239415e-06 'L5FS']
 [0.004441918806240536 'Amygdala']
 [0.01937600886205686 'CA1PC']]","[[3.0195703826038958e-21 'L5FS']
 [0.0002449998139508961 'CA1PC']
 [0.007106260410098564 'L5PC']]","['L5FS', 'L5PC', 'Amygdala', 'CA1PC']","['L5FS', 'L5PC', 'Amygdala', 'CA1PC']",['L2IN'],[]
