apwaveform_AP_mean_stim_140,apwaveform_AP_mean_stim_180,apwaveform_AP_mean_stim_220,apwaveform_AP_mean_wo_first_stim_60,apwaveform_AP_mean_wo_first_stim_100,apwaveform_AP_mean_wo_first_stim_140,apwaveform_AP_mean_wo_first_stim_180,apwaveform_AP_mean_wo_first_stim_220,idrest_AP_mean_stim_125,idrest_AP_mean_stim_150,idrest_AP_mean_stim_175,idrest_AP_mean_stim_200,idrest_AP_mean_stim_225,idrest_AP_mean_stim_250,idrest_AP_mean_stim_275,idrest_AP_mean_stim_300,idrest_AP_mean_wo_first_stim_50,idrest_AP_mean_wo_first_stim_75,idrest_AP_mean_wo_first_stim_100,idrest_AP_mean_wo_first_stim_125,idrest_AP_mean_wo_first_stim_150,idrest_AP_mean_wo_first_stim_175,idrest_AP_mean_wo_first_stim_200,idrest_AP_mean_wo_first_stim_225,idrest_AP_mean_wo_first_stim_250,idrest_AP_mean_wo_first_stim_275,idrest_AP_mean_wo_first_stim_300,apwaveform_first_AP_voltage_stim_140,apwaveform_first_AP_voltage_stim_180,apwaveform_first_AP_voltage_stim_220,idrest_first_AP_voltage_stim_125,idrest_first_AP_voltage_stim_150,idrest_first_AP_voltage_stim_175,idrest_first_AP_voltage_stim_200,idrest_first_AP_voltage_stim_225,idrest_first_AP_voltage_stim_250,idrest_first_AP_voltage_stim_275,idrest_first_AP_voltage_stim_300,apwaveform_first_ISI_stim_140,apwaveform_first_ISI_stim_180,apwaveform_first_ISI_stim_220,idrest_first_ISI_stim_125,idrest_first_ISI_stim_150,idrest_first_ISI_stim_175,idrest_first_ISI_stim_200,idrest_first_ISI_stim_225,idrest_first_ISI_stim_250,idrest_first_ISI_stim_275,idrest_first_ISI_stim_300,apwaveform_first_fall_tau_stim_60,apwaveform_first_fall_tau_stim_100,apwaveform_first_fall_tau_stim_140,apwaveform_first_fall_tau_stim_180,apwaveform_first_fall_tau_stim_220,apwaveform_peak_frequency_stim_60,apwaveform_peak_frequency_stim_100,apwaveform_peak_frequency_stim_140,apwaveform_peak_frequency_stim_180,apwaveform_peak_frequency_stim_220,idrest_peak_frequency_stim_50,idrest_peak_frequency_stim_75,idrest_peak_frequency_stim_100,idrest_peak_frequency_stim_125,idrest_peak_frequency_stim_150,idrest_peak_frequency_stim_175,idrest_peak_frequency_stim_200,idrest_peak_frequency_stim_225,idrest_peak_frequency_stim_250,idrest_peak_frequency_stim_275,idrest_peak_frequency_stim_300,apwaveform_tau_mean_stim_140,apwaveform_tau_mean_stim_180,apwaveform_tau_mean_stim_220,apwaveform_tau_mean_stim_100,apwaveform_tau_mean_stim_60,4_clusters,5_clusters,6_clusters,7_clusters,8_clusters,9_clusters,10_clusters,11_clusters
-0.12655593343165714,-0.11266340650300481,-0.098036266032757,0.03380343556085891,0.09269374575986407,-0.12655593343165714,-0.11266340650300481,-0.098036266032757,-0.03882925697647633,-0.042013382131695795,-0.040078962345080626,-0.03721230140227806,-0.04513905587590199,-0.027897161745401754,-0.023044617473675543,-0.020949030756836164,0.015236263350382072,0.024506383754446425,-0.05480907024298964,-0.03882925697647633,-0.042013382131695795,-0.040078962345080626,-0.03721230140227806,-0.04513905587590199,-0.027897161745401754,-0.023044617473675543,-0.020949030756836164,-0.24947539607584843,-0.26923386603486626,-0.27733881986794956,-0.10251224358976842,-0.11022386737407534,-0.12134875579083286,-0.1156931419467726,-0.12692377952704476,-0.08552559434305397,-0.08387328225103258,-0.41006621603080096,-0.16874909133623597,-0.2051912814218747,-0.23197747839165397,-0.0763521678571288,-0.07675350335992553,-0.07539887525339872,-0.0654169128070397,-0.06121548825468508,-0.06709330782640367,-0.0567017314490898,-0.057511747722765245,-0.04519957998191098,-0.11473923591555504,-0.15298892347954546,-0.13161056630328855,-0.12458826904657347,-0.03856419718908759,-0.05751180495781992,0.5405468727225489,0.623312586676803,0.6908158146256028,-0.020018698469233705,-0.031091927010885204,0.165820635361971,0.2938835879842387,0.2852816403043921,0.3089169247358466,0.33273621580138607,0.3571356752427466,0.36800195511040634,0.3772591379064789,0.3818685353199696,-0.19381688126234092,-0.1742553935960815,-0.16288900351448848,0.0,0.0,0,0,0,0,0,0,0,0
-0.12650473702356552,-0.11991127130700549,-0.09904985111594594,0.03380343556085891,-0.3666973710728169,-0.12650473702356552,-0.11991127130700549,-0.09904985111594594,-0.03866597306629037,-0.04059746021655522,-0.04092676666980957,-0.04203021311627913,-0.04392213011700855,-0.04206635558192584,-0.03899099346881309,-0.03504211661106956,0.015236263350382072,0.024506383754446425,-0.05550663204103582,-0.03866597306629037,-0.04059746021655522,-0.04092676666980957,-0.04203021311627913,-0.04392213011700855,-0.04206635558192584,-0.03899099346881309,-0.03504211661106956,-0.2883682992144068,-0.7695943602167491,-0.7144952498691017,-0.11193760996766042,-0.12208193739372523,-0.12772459509036532,-0.14532821206506263,-0.4153681631633052,-0.40218500722900263,-0.3641891817817701,-0.3396308382145231,-0.18283035726018873,-0.21147076886160718,-0.23550829759749992,-0.07856597879985568,-0.07808478541965021,-0.07632146586991398,-0.06604198884800147,-0.06177870865992858,-0.06755024200610521,-0.05725581604496102,-0.05786171632713722,-0.04519957998191098,-0.11107767816187326,-0.14791494380194267,0.6492919649666969,0.5507609113150443,-0.03856419718908759,3.831939224838485,1.3904904798451088,1.0593135696299005,1.0321298777119396,-0.020018698469233705,-0.031091927010885204,0.8114307063065478,0.5357116600924337,0.46164645299318413,0.4479643540706943,0.4403214748425341,0.4260265183427478,0.41497858992970454,0.4064866638733155,0.40257560914984547,-0.19357943671781513,0.05905944360899412,0.04073933609330739,-0.37665194062614665,0.0,0,0,0,0,0,0,0,0
-0.10737896406981977,-0.06952621836049015,-0.04011665122678761,0.03380343556085891,0.09269374575986407,-0.10737896406981977,-0.06952621836049015,-0.04011665122678761,-0.0315781384288253,-0.03261878387376713,-0.03074537512592554,-0.027031184338298053,-0.023899206188400846,-0.020371960931237644,-0.01498247039816628,-0.009286981315238712,0.015236263350382072,0.024506383754446425,0.06187174239820533,-0.0315781384288253,-0.03261878387376713,-0.03074537512592554,-0.027031184338298053,-0.023899206188400846,-0.020371960931237644,-0.01498247039816628,-0.009286981315238712,-0.16685636555452435,-0.11973370028688551,-0.06552534669612588,-0.06402194198720039,-0.06368682587214503,-0.06540058699424114,-0.054275552475330495,-0.045926075328833714,-0.03666545018625729,-0.01924456790517643,-0.009555782404250828,-0.1616014578733118,-0.2018003582044192,-0.22951411615501757,-0.0748333905824674,-0.07548878540318728,-0.07464713475105293,-0.06501061338041446,-0.06095044335809979,-0.06684407100111182,-0.05658299903568868,-0.05731732072033628,-0.04519957998191098,-0.11473923591555504,-0.15124034452911597,-0.13028711804602777,-0.12361749361518357,-0.03856419718908759,-0.05751180495781992,0.5405468727225489,0.47797892569243705,0.4632731059013785,-0.020018698469233705,-0.031091927010885204,-0.02786238592140203,0.1839617370259682,0.19709923395999612,0.20463135273471078,0.20559000057093854,0.2107426336552437,0.21924261151596233,0.2238146265805866,0.2300166605675469,-0.19174178987580348,-0.17211839344401614,-0.16076180768342938,0.0,0.0,0,0,0,0,0,0,0,0
-0.09673198611082393,-0.08287519775035408,-0.07337862608235518,0.03380343556085891,0.09269374575986407,-0.09673198611082393,-0.08287519775035408,-0.07337862608235518,-0.027578517704835926,-0.023267924059962725,-0.024068023037617303,-0.02343906962655779,-0.02478124300646142,-0.024060478869099625,-0.021091635529419072,-0.01856704874205835,0.015236263350382072,0.024506383754446425,0.06187174239820533,-0.027578517704835926,-0.023267924059962725,-0.024068023037617303,-0.02343906962655779,-0.02478124300646142,-0.024060478869099625,-0.021091635529419072,-0.01856704874205835,-0.1798372115399712,-0.18156800659731467,-0.17904359321824811,-0.07848494403058652,-0.08107011739501258,-0.08942557934863962,-0.09043204073241838,-0.08528659141056624,-0.08314540469919778,-0.08420515740217117,-0.08016596241287433,-0.1687062911358592,-0.2038516574347322,-0.23070474123605664,-0.0765581037587778,-0.07665365720544619,-0.07522802513922923,-0.0652293899947512,-0.06101670458224623,-0.06671945258846612,-0.05630595673775327,-0.05720066451887912,-0.04519957998191098,-0.11473923591555504,-0.15220194677022453,-0.13100161722353182,-0.12415867964635985,-0.03856419718908759,-0.05751180495781992,0.5405468727225489,0.623312586676803,0.5770444602634905,-0.020018698469233705,-0.031091927010885204,-0.02786238592140203,0.07403988606769783,0.2558875048562601,0.25098049584632665,0.24471191294953779,0.2451880552052444,0.2427309289256114,0.25304215254742324,0.25072373439742274,-0.19299058015149095,-0.1733726822557758,-0.16215018930561162,0.0,0.0,0,0,0,0,0,0,0,0
-0.14280303424053037,-0.1251125711780851,-0.1107155578653033,0.03380343556085891,-0.15560725612119475,-0.14280303424053037,-0.1251125711780851,-0.1107155578653033,-0.04922861826448259,-0.04802224133320166,-0.04814368940772376,-0.04566867347216591,-0.04383405770724175,-0.04158406948654596,-0.039334092157573254,-0.03523131180020191,0.015236263350382072,0.024506383754446425,-0.010579640812254822,-0.04922861826448259,-0.04802224133320166,-0.04814368940772376,-0.04566867347216591,-0.04383405770724175,-0.04158406948654596,-0.039334092157573254,-0.03523131180020191,-0.2928741400642901,-0.32295072315074885,-0.34601481731360567,-0.12228188665306905,-0.1307433161560193,-0.14093907383496204,-0.1447365875946087,-0.14661464966937285,-0.14191349077134222,-0.4044745318547351,-0.37889288275630995,-0.1792351404285484,-0.20967064912888844,-0.23435872855373915,-0.0782570749473821,-0.07795165721367764,-0.07625312582424609,-0.06597948124390522,-0.06174557804785536,-0.06759178147698705,-0.057176661102693635,-0.05782283092665139,-0.04519957998191098,-0.1096176631437225,-0.1527935677874307,-0.1315963378499403,-0.1247504306489264,-0.03856419718908759,0.720378401001441,0.9655186762838289,0.9139799086455346,0.8045871689877151,-0.020018698469233705,-0.031091927010885204,0.03669862117305565,0.5576960302840877,0.46164645299318413,0.43637706829279027,0.4109800405585846,0.3915810967927472,0.3836608333835057,0.3699522564147697,0.3680638194333858,-0.19370621043457986,-0.17395743187419221,-0.16275705805113322,-0.37492802650085966,0.0,0,0,0,0,0,0,0,0
-0.11603904535172654,-0.09418249809361307,-0.07753352690400478,0.03380343556085891,0.09269374575986407,-0.11603904535172654,-0.09418249809361307,-0.07753352690400478,-0.03869084575732349,-0.038507994913892805,-0.037604521274102395,-0.035949402293757066,-0.03411806059922765,-0.03502701741396188,-0.03077092565579051,-0.025458916451959114,0.015236263350382072,0.024506383754446425,-0.004887290554853555,-0.03869084575732349,-0.038507994913892805,-0.037604521274102395,-0.035949402293757066,-0.03411806059922765,-0.03502701741396188,-0.03077092565579051,-0.025458916451959114,-0.22496269816325418,-0.22432260010247873,-0.24286521525798843,-0.09951838004391761,-0.10449697129326685,-0.10738840943670083,-0.11022630114034308,-0.10964999906806311,-0.4545707592455618,-0.40936023396656573,-0.38471746967699805,-0.17409911638333486,-0.2068658114058043,-0.2332502155472506,-0.0774590733284922,-0.07751899054426721,-0.07594559561874108,-0.06579195843161675,-0.061613055599562816,-0.06759178147698709,-0.05717666110269365,-0.05790060172762294,-0.04519957998191098,-0.11473923591555504,-0.1534325384603326,-0.1320496129047068,-0.12502954251620751,-0.03856419718908759,-0.05751180495781992,0.7530327745031888,0.7686462476611688,0.8045871689877151,-0.020018698469233705,-0.031091927010885204,0.03669862117305565,0.40380543894250914,0.3734640466487882,0.37844063940327044,0.38163860627463514,0.3915810967927472,0.39149027252005547,0.3918729008898972,0.38877089326326164,-0.1943836882738295,-0.17473741387684227,-0.16347989249198094,0.0,0.0,0,0,0,0,0,0,0,0
-0.14215449382741285,-0.13931468214274192,-0.14236290765356105,0.03380343556085891,0.09269374575986407,-0.14215449382741285,-0.13931468214274192,-0.14236290765356105,-0.04392199512824083,-0.05018636896545327,-0.05704042730085241,-0.06223708223874297,-0.06644232083674405,-0.06908312503945876,-0.07018373015172057,-0.07169598626983811,0.015236263350382072,0.024506383754446425,0.06187174239820533,-0.04392199512824083,-0.05018636896545327,-0.05704042730085241,-0.06223708223874297,-0.06644232083674405,-0.06908312503945876,-0.07018373015172057,-0.07169598626983811,-0.2595436731192165,-0.3277890169751921,-0.37393255500099126,-0.10247233300723235,-0.13297972689901208,-0.14908469332273785,-0.15378620533908155,-0.1597738630532703,-0.16627667755188552,-0.15196331886565678,-0.3549794401335613,-0.16780748692794656,-0.20276321294517638,-0.23123846972066212,-0.07637790984483492,-0.07655381105096688,-0.07536470523056482,-0.06544816660908781,-0.06124861886675823,-0.0670102288846398,-0.05682046386249076,-0.05755063312325102,-0.04519957998191098,-0.11473923591555504,-0.15337085474042114,-0.13191359858879897,-0.12488199985180985,-0.03856419718908759,-0.05751180495781992,0.5405468727225489,0.623312586676803,0.6908158146256028,-0.020018698469233705,-0.031091927010885204,-0.02786238592140203,0.2718992177925846,0.2852816403043921,0.29732963895794257,0.3229557377067363,0.3313016090802461,0.33668419856420767,0.340724730447933,0.34045438766021796,-0.19434065998719735,-0.17475054161713555,-0.16345842589498247,0.0,0.0,0,0,0,0,0,0,0,0
-0.14854421419138267,-0.1474541663533237,-0.14466938567468787,0.03380343556085891,0.09269374575986407,-0.14854421419138267,-0.1474541663533237,-0.14466938567468787,-0.05075996312310872,-0.05585196601972605,-0.06069246505503247,-0.0656806796439488,-0.06752364681958363,-0.06702106915337615,-0.06571161805127673,-0.06660372100160401,0.015236263350382072,0.024506383754446425,0.06187174239820533,-0.05075996312310872,-0.05585196601972605,-0.06069246505503247,-0.0656806796439488,-0.06752364681958363,-0.06702106915337615,-0.06571161805127673,-0.06660372100160401,-0.3070061410473995,-0.35613674508797505,-0.37048157221159506,-0.12848521379386632,-0.14690439855522713,-0.16002683778259671,-0.16627231396818967,-0.16717223839569606,-0.16433620290101061,-0.16885542839049067,-0.32658240952662815,-0.17123150295808987,-0.2051075549226786,-0.23169008613071218,-0.07678978164813294,-0.07711960592634984,-0.07570640545890382,-0.065510674213184,-0.06128174947883142,-0.06721792623904957,-0.05686004133362445,-0.05758951852373682,-0.04519957998191098,-0.11473923591555504,-0.15335820700679825,-0.1318554696025368,-0.12486125852161142,-0.03856419718908759,-0.05751180495781992,0.7530327745031888,0.623312586676803,0.6908158146256028,-0.020018698469233705,-0.031091927010885204,-0.02786238592140203,0.2718992177925846,0.29997870802845816,0.3089169247358466,0.3131752596120865,0.3054675429177456,0.3053664420180089,0.29688344149767815,0.29904024000046636,-0.1942301731309909,-0.17458046114625209,-0.16325962086999157,0.0,0.0,0,0,0,0,0,0,0,0
-0.17239653895099413,-0.16089685410504964,-0.16582519118035285,0.03380343556085891,-0.1478850501058383,-0.17239653895099413,-0.16089685410504964,-0.16582519118035285,-0.055615724966234945,-0.06274338337294007,-0.06537024664230535,-0.07033307024626737,-0.07103059636621693,-0.07030976742693525,-0.06813241831623235,-0.06716094860510856,0.015236263350382072,0.024506383754446425,-0.07593052340363204,-0.055615724966234945,-0.06274338337294007,-0.06537024664230535,-0.07033307024626737,-0.07103059636621693,-0.07030976742693525,-0.06813241831623235,-0.06716094860510856,-0.30697383116073385,-0.3388406660051497,-0.34243341947711303,-0.11764550073223184,-0.12331049389727741,-0.1296480744750822,-0.13127552187736463,-0.12694526284057853,-0.11453575833713114,-0.09898610475343311,-0.0884098395190294,-0.15766383943864698,-0.19845129823655738,-0.22795398673847875,-0.07506506847182252,-0.07568847771214596,-0.07454462468255124,-0.06485434437017405,-0.060685398461514654,-0.0663871368214104,-0.05630595673775314,-0.05700623751645017,-0.04519957998191098,-0.11005147388636756,-0.15322004740170253,-0.13175142781503527,-0.12462964917585298,-0.03856419718908759,0.720378401001441,0.32806097094190884,0.47797892569243705,0.4632731059013785,-0.020018698469233705,-0.031091927010885204,0.10125962826751332,0.16197736683431416,0.18240216623593009,0.1930440669568068,0.20559000057093854,0.2193539890427439,0.22707205065251201,0.2384283895640049,0.24382137645413077,-0.19413138194175056,-0.17451022956635007,-0.16307678123543662,-0.37552388487485877,0.0,1,1,1,1,1,1,1,1
-0.1125297716579837,-0.12537425931547358,-0.1317996647414347,0.03380343556085891,0.09269374575986407,-0.1125297716579837,-0.12537425931547358,-0.1317996647414347,-0.0432953450066067,-0.05365308333699433,-0.06128512755940672,-0.06730112719240139,-0.07051195637284895,-0.07113018523133582,-0.07149735395308084,-0.07329347132333361,0.015236263350382072,0.024506383754446425,0.06187174239820533,-0.0432953450066067,-0.05365308333699433,-0.06128512755940672,-0.06730112719240139,-0.07051195637284895,-0.07113018523133582,-0.07149735395308084,-0.07329347132333361,-0.2706573296111726,-0.3257542556704681,-0.3614490516540369,-0.1251393662364444,-0.15299452385089904,-0.17111534556304112,-0.18362384875115575,-0.18455255998443498,-0.19000487024124502,-0.177876711625957,-0.38523903876611265,-0.16091665466728314,-0.2079123926457623,-0.23386605610641165,-0.045230104720422916,-0.07701975977187045,-0.07584308555023934,-0.06582321223366479,-0.06157992498748965,-0.06750870253522316,-0.057057928689292686,-0.05782283092665139,-0.04519957998191098,-0.11473923591555504,-0.15343646088132773,-0.1320722350366038,-0.12504429106762363,-0.03856419718908759,-0.05751180495781992,0.5405468727225489,0.7686462476611688,0.8045871689877151,-0.020018698469233705,-0.031091927010885204,-0.02786238592140203,0.1839617370259682,0.3587669789247221,0.3900279251811744,0.40119956246393473,0.4001924521802474,0.39149027252005547,0.3918729008898972,0.38877089326326164,-0.1943393382877705,-0.17485859971751083,-0.16372837484619596,0.0,0.0,0,0,0,0,0,0,0,0
