feature_value,id,feature,median,treshold_min,treshold_max
-41.99276773935979,107_2,apwaveform_AP_mean_stim_60,0.0,-30.418593485297414,30.418593485297414
-35.917865936091424,115_2,apwaveform_AP_mean_stim_60,0.0,-30.418593485297414,30.418593485297414
-33.12627004287084,485_1,apwaveform_AP_mean_stim_60,0.0,-30.418593485297414,30.418593485297414
-34.23246664745032,543_1,apwaveform_AP_mean_stim_60,0.0,-30.418593485297414,30.418593485297414
36.10124844088698,294_1,apwaveform_first_AP_voltage_stim_180,-33.53104123019599,-96.251041029948,29.18895856955602
29.81750403442863,608_1,apwaveform_first_AP_voltage_stim_180,-33.53104123019599,-96.251041029948,29.18895856955602
29.953748843530924,621_1,apwaveform_first_AP_voltage_stim_180,-33.53104123019599,-96.251041029948,29.18895856955602
41.12124840400527,279_1,apwaveform_first_AP_voltage_stim_220,-33.55317090101205,-94.52702660170058,27.42068479967648
368.2199999996652,304_1,apwaveform_first_ISI_stim_60,0.0,-333.3921583339602,333.3921583339602
460.0599999995816,457_1,apwaveform_first_ISI_stim_60,0.0,-333.3921583339602,333.3921583339602
400.339999999636,485_1,apwaveform_first_ISI_stim_60,0.0,-333.3921583339602,333.3921583339602
1170.8399999989354,543_1,apwaveform_first_ISI_stim_60,0.0,-333.3921583339602,333.3921583339602
664.219999999396,472_1,apwaveform_first_ISI_stim_100,0.0,-529.5361881634077,529.5361881634077
753.439999999315,538_1,apwaveform_first_ISI_stim_100,0.0,-529.5361881634077,529.5361881634077
573.919999999478,539_1,apwaveform_first_ISI_stim_100,0.0,-529.5361881634077,529.5361881634077
970.6999999991172,551_1,apwaveform_first_ISI_stim_100,0.0,-529.5361881634077,529.5361881634077
577.339999999475,594_1,apwaveform_first_ISI_stim_100,0.0,-529.5361881634077,529.5361881634077
619.0199999994371,595_1,apwaveform_first_ISI_stim_100,0.0,-529.5361881634077,529.5361881634077
651.5999999994075,726_1,apwaveform_first_ISI_stim_100,0.0,-529.5361881634077,529.5361881634077
67.27457813653217,272_1,apwaveform_first_fall_tau_stim_60,0.0,-39.42527382728876,39.42527382728876
41.72244680461669,304_1,apwaveform_first_fall_tau_stim_60,0.0,-39.42527382728876,39.42527382728876
100.0,512_1,apwaveform_first_fall_tau_stim_60,0.0,-39.42527382728876,39.42527382728876
319.1169489681002,109_2,apwaveform_first_fall_tau_stim_100,0.0,-314.15155992712715,314.15155992712715
1208.7041066997322,217_2,apwaveform_first_fall_tau_stim_100,0.0,-314.15155992712715,314.15155992712715
641241437715599.2,555_2,apwaveform_first_fall_tau_stim_140,6.485040822028546,-155523892895539.75,155523892895552.75
176.0804479124879,224_1,apwaveform_first_fall_tau_stim_180,2.198987344216728,-148.68620641797656,153.08418110641003
45624321660812.375,322_1,apwaveform_first_fall_tau_stim_220,1.3252599263485432,-11065523370858.713,11065523370861.365
13.33214825348858,115_2,apwaveform_peak_frequency_stim_60,0.0,-6.119189633137903,6.119189633137903
15.999573344710806,458_1,apwaveform_peak_frequency_stim_60,0.0,-6.119189633137903,6.119189633137903
106.65529010238896,54_1,apwaveform_peak_frequency_stim_100,0.0,-33.91384904901724,33.91384904901724
44.4365446142908,219_1,apwaveform_peak_frequency_stim_100,0.0,-33.91384904901724,33.91384904901724
149.31740614334453,54_1,apwaveform_peak_frequency_stim_140,2.2221728406035424,-121.93312781951369,126.37747350072078
127.98634812286674,63_1,apwaveform_peak_frequency_stim_140,2.2221728406035424,-121.93312781951369,126.37747350072078
191.97952218430007,63_1,apwaveform_peak_frequency_stim_180,3.555429140297233,-177.9665310369078,185.07738931750228
-42.01109086503169,107_2,apwaveform_second_AP_voltage_stim_60,0.0,-20.18126602073901,20.18126602073901
-36.55468374487437,115_2,apwaveform_second_AP_voltage_stim_60,0.0,-20.18126602073901,20.18126602073901
-28.238749065629374,304_1,apwaveform_second_AP_voltage_stim_60,0.0,-20.18126602073901,20.18126602073901
-29.25874854411928,457_1,apwaveform_second_AP_voltage_stim_60,0.0,-20.18126602073901,20.18126602073901
-32.880249847064995,485_1,apwaveform_second_AP_voltage_stim_60,0.0,-20.18126602073901,20.18126602073901
-33.8215380052227,543_1,apwaveform_second_AP_voltage_stim_60,0.0,-20.18126602073901,20.18126602073901
-49.39420876566697,206_1,apwaveform_second_AP_voltage_stim_100,0.0,-47.32627641510048,47.32627641510048
74.51999999993222,115_2,apwaveform_second_ISI_stim_60,0.0,-18.073990870040873,18.073990870040873
305.67999999972204,241_1,apwaveform_second_ISI_stim_100,0.0,-99.85220697567908,99.85220697567908
130.59999999988122,246_1,apwaveform_second_ISI_stim_100,0.0,-99.85220697567908,99.85220697567908
216.07999999980356,444_1,apwaveform_second_ISI_stim_100,0.0,-99.85220697567908,99.85220697567908
552.0999999994979,222_1,apwaveform_second_ISI_stim_140,0.0,-546.4161591174225,546.4161591174225
711.1999999993533,547_1,apwaveform_second_ISI_stim_140,0.0,-546.4161591174225,546.4161591174225
652.9599999994061,566_1,apwaveform_second_ISI_stim_140,0.0,-546.4161591174225,546.4161591174225
720.5999999993446,546_1,apwaveform_second_ISI_stim_220,12.14999999998895,-661.8847592045673,686.1847592045452
41.39413117834921,107_2,apwaveform_second_fall_tau_stim_60,0.0,-14.61006275524275,14.61006275524275
33.336764830956064,304_1,apwaveform_second_fall_tau_stim_60,0.0,-14.61006275524275,14.61006275524275
20.408846414481648,457_1,apwaveform_second_fall_tau_stim_60,0.0,-14.61006275524275,14.61006275524275
19.9882782089882,543_1,apwaveform_second_fall_tau_stim_60,0.0,-14.61006275524275,14.61006275524275
22.209135993620222,245_1,apwaveform_second_fall_tau_stim_100,0.0,-17.69775460131046,17.69775460131046
28.43988884210921,246_1,apwaveform_second_fall_tau_stim_100,0.0,-17.69775460131046,17.69775460131046
20.4289044269008,328_1,apwaveform_second_fall_tau_stim_100,0.0,-17.69775460131046,17.69775460131046
30.370714142090225,444_1,apwaveform_second_fall_tau_stim_100,0.0,-17.69775460131046,17.69775460131046
18.91838885715585,457_1,apwaveform_second_fall_tau_stim_100,0.0,-17.69775460131046,17.69775460131046
25.241890443867327,595_1,apwaveform_second_fall_tau_stim_100,0.0,-17.69775460131046,17.69775460131046
